Title,Trivia,Words
Abyssinian,"The Abyssinian's name reflects an early belief that the breed originated in Ethiopia.

A distinctive ticked coat, with each hair banded in multiple colors, defines the breed.

Abyssinians have an athletic, muscular build suited to jumping and climbing.

The Abyssinian is considered one of the oldest known cat breeds.

Abyssinians are famously curious, often investigating every corner of their home.

The breed is highly active, rarely content to sit still for long.

A short, fine coat is characteristic of the Abyssinian.

Almond-shaped eyes give the Abyssinian an alert, expressive look.

Abyssinians are energetic cats that enjoy climbing and interactive play.

The breed is considered quite intelligent, often learning to open doors or cabinets.

Abyssinians are known for being deeply affectionate with their families.

A slender, elegant body shape is typical of the breed.

The breed retains a playful personality well into adulthood.

Abyssinians are generally not especially vocal compared to some other breeds.",ETHIOPIA,TICKEDCOAT,ATHLETIC,ANCIENT,CURIOUS,ACTIVE,SHORTHAIR,ALMONDEYES,ENERGETIC,INTELLIGENT,AFFECTIONATE,SLENDER,PLAYFUL,VOCAL
Bambino,"The Bambino is a hybrid breed combining Sphynx and Munchkin ancestry.

Short legs, inherited from the Munchkin, are a defining trait of the breed.

Like the Sphynx, the Bambino is largely hairless.

Bambinos retain a playful personality throughout their lives.

The breed is known for being deeply affectionate with its family.

Bambinos are famously curious about their surroundings.

The breed is energetic despite its short legs.

Bambinos are generally sociable, enjoying company from people and pets.

Without fur, Bambinos often feel notably warm to the touch.

The breed's combination of traits gives it a genuinely unique appearance.

Bambinos are generally quite friendly, including with strangers.

The breed is known for a mischievous, playful streak.

Bambinos are attentive cats that enjoy being close to their owners.

The breed requires special skin care, including occasional bathing, due to its lack of fur.",HYBRID,SHORTLEGS,HAIRLESS,PLAYFUL,AFFECTIONATE,CURIOUS,ENERGETIC,SOCIABLE,WARMSKIN,UNIQUE,FRIENDLY,MISCHIEVOUS,ATTENTIVE,GROOMING
Bengal,"The Bengal is a hybrid breed developed by crossing domestic cats with the Asian leopard cat.

Distinctive spotted markings, resembling those of a wild leopard, define the breed's coat.

An athletic, muscular build reflects the Bengal's wild ancestry.

Bengals are highly energetic and need substantial daily activity.

The breed is considered quite intelligent, often solving simple puzzles or opening doors.

Bengals are known for an unusual love of water among domestic cats.

The breed can be fairly vocal, especially when seeking attention.

A muscular, powerful frame is typical of the Bengal.

Bengals are famously curious about their surroundings.

The breed retains a playful personality throughout its life.

A glossy, satiny coat is characteristic of the Bengal.

Bengals are known for a confident, assertive temperament.

The breed is highly active, requiring plenty of space to explore and climb.

The Bengal's striking, wild-looking coat pattern sets it apart from most other breeds.",HYBRID,SPOTTED,ATHLETIC,ENERGETIC,INTELLIGENT,SWIMMER,VOCAL,MUSCULAR,CURIOUS,PLAYFUL,GLOSSY,CONFIDENT,ACTIVE,STRIKING
Birman,"The Birman is closely associated with Myanmar, formerly known as Burma.

The breed is sometimes called the ""Sacred Cat of Burma"" due to its temple legends.

Striking blue eyes are a defining feature of the Birman.

White ""mittens"" on the paws are a signature trait of the breed.

A long, silky coat is characteristic of the Birman.

The breed is generally known for a gentle temperament.

Birmans are known for being deeply affectionate with their families.

Colorpoint markings, darker on the face, ears, legs, and tail, are standard for the breed.

The breed is generally sociable, enjoying company from people and pets.

Birmans are generally quite friendly, including with strangers.

The breed is known for a calm, easygoing demeanor.

Birmans form deeply devoted bonds with their owners.

A fluffy coat with minimal matting is typical of the breed.

Legend holds that the Birman's paws stayed white as a mark of purity.",MYANMAR,SACRED,BLUEEYES,MITTENS,LONGHAIR,GENTLE,AFFECTIONATE,COLORPOINT,SOCIABLE,FRIENDLY,CALM,DEVOTED,FLUFFY,LEGEND
Bombay,"The Bombay was developed in the United States.

A solid black coat is the defining trait of the Bombay.

The breed was deliberately bred to resemble a miniature black panther.

A sleek, close-lying coat gives the Bombay its panther-like look.

Bombays are known for being deeply affectionate with their families.

The breed is generally sociable, enjoying close interaction with people.

Bombays retain a playful personality throughout their lives.

Striking golden or copper eyes contrast with the Bombay's black coat.

The breed has a medium-sized, muscular body.

Bombays are generally quite friendly, including with strangers.

The breed forms loyal bonds with its family.

Bombays are famously curious about their surroundings.

A glossy, patent-leather-like sheen is characteristic of the Bombay's coat.

The breed can be fairly vocal, communicating readily with its owners.",AMERICA,BLACKCOAT,MINIATURE,SLEEK,AFFECTIONATE,SOCIABLE,PLAYFUL,GOLDENEYES,MEDIUMSIZE,FRIENDLY,LOYAL,CURIOUS,GLOSSY,VOCAL
Brazilian Shorthair,"The Brazilian Shorthair originated in Brazil.

The breed developed naturally rather than through deliberate crossbreeding programs.

Brazilian Shorthairs descend largely from common street cats found throughout Brazil.

The breed is known for being highly adaptable to different environments.

Brazilian Shorthairs are known for being deeply affectionate with their families.

An athletic, agile build reflects the breed's street-cat ancestry.

A short, sleek coat requires minimal grooming.

The breed is generally sociable, enjoying company from people and pets.

Brazilian Shorthairs are generally quite friendly, including with strangers.

The breed is energetic and enjoys interactive play.

Brazilian Shorthairs are known for being notably hardy and resilient.

The breed retains a playful personality into adulthood.

Brazilian Shorthairs are considered quite intelligent.

The breed forms loyal bonds with its family.",BRAZIL,NATURALBREED,STREET,ADAPTABLE,AFFECTIONATE,ATHLETIC,SHORTHAIR,SOCIABLE,FRIENDLY,ENERGETIC,HARDY,PLAYFUL,INTELLIGENT,LOYAL
British Longhair,"The British Longhair originated in England, a longhaired variant of the British Shorthair.

A long, dense coat is the defining trait distinguishing this breed from its shorthaired relative.

The coat has a plush, teddy-bear-like texture.

A distinctively round face is characteristic of the breed.

British Longhairs are generally known for a calm temperament.

The breed is known for being easygoing and low-maintenance in personality.

British Longhairs are known for being affectionate without being overly demanding.

The breed can show a streak of quiet independence.

A sturdy, well-rounded body is typical of the British Longhair.

British Longhairs are generally known for a gentle disposition.

The breed forms loyal bonds with its family.

British Longhairs are known for a relaxed, unhurried approach to life.

The breed is generally quite friendly with people and other pets.

The British Longhair's round, plush appearance has earned it comparisons to a teddy bear.",ENGLAND,LONGHAIR,PLUSH,ROUNDFACE,CALM,EASYGOING,AFFECTIONATE,INDEPENDENT,STURDY,GENTLE,LOYAL,RELAXED,FRIENDLY,TEDDYBEAR
British Shorthair,"The British Shorthair has a long history in England, among the oldest identifiable breeds there.

A short, dense coat is the defining trait of the British Shorthair.

A distinctively round face and round eyes are characteristic of the breed.

The coat has a notably dense, plush texture.

British Shorthairs are generally known for a calm temperament.

The breed is known for being easygoing and undemanding.

A sturdy, well-rounded body is typical of the British Shorthair.

British Shorthairs are known for being affectionate without being overly clingy.

The breed can show a streak of quiet independence.

British Shorthairs are generally known for a gentle disposition.

The breed forms loyal bonds with its family.

British Shorthairs are generally quite friendly with people and other pets.

The breed is sometimes linked to the smiling Cheshire Cat of literary fame.

British Shorthairs are known for a relaxed, unhurried approach to life.",ENGLAND,SHORTHAIR,ROUNDFACE,DENSECOAT,CALM,EASYGOING,STURDY,AFFECTIONATE,INDEPENDENT,GENTLE,LOYAL,FRIENDLY,CHESHIRE,RELAXED
Burmese,"The Burmese traces its origins to Myanmar, formerly known as Burma.

Striking golden eyes are a hallmark of the Burmese.

A surprisingly muscular, heavy body belies the Burmese's moderate size.

Burmese cats are known for being deeply affectionate with their families.

The breed is generally sociable, often following its owner from room to room.

Burmese cats retain a playful personality throughout their lives.

The breed can be fairly vocal, communicating readily with its owners.

A short, silky coat requires minimal grooming.

Burmese cats are generally quite friendly, including with strangers.

The breed is considered quite intelligent.

Burmese cats form deeply devoted bonds with their owners.

A compact, dense body is typical of the Burmese.

The breed is famously curious about its surroundings.

Burmese cats are energetic and enjoy interactive play.",MYANMAR,GOLDENEYES,MUSCULAR,AFFECTIONATE,SOCIABLE,PLAYFUL,VOCAL,SILKY,FRIENDLY,INTELLIGENT,DEVOTED,COMPACT,CURIOUS,ENERGETIC
Burmilla,"The Burmilla was developed in England from an accidental Burmese and Chinchilla Persian pairing.

The breed's Burmese ancestry contributes much of its body type and personality.

The Chinchilla Persian side of the Burmilla's ancestry gave it its distinctive coat shading.

A shaded coat, darker along the back and lighter beneath, is characteristic of the breed.

Burmillas are known for being deeply affectionate with their families.

The breed is generally sociable, enjoying company from people and pets.

Burmillas retain a playful personality throughout their lives.

The breed is generally known for a gentle temperament.

Burmillas are generally quite friendly, including with strangers.

The breed is famously curious about its surroundings.

Burmillas have a medium-sized, elegant body.

Striking green eyes are common in the breed.

The breed can be fairly vocal, though generally less so than a Burmese.

Burmillas carry themselves with an elegant bearing.",ENGLAND,BURMESE,CHINCHILLA,SHADED,AFFECTIONATE,SOCIABLE,PLAYFUL,GENTLE,FRIENDLY,CURIOUS,MEDIUMSIZE,GREENEYES,VOCAL,ELEGANT
California Spangled,"The California Spangled was developed in the United States.

Bold spots covering the entire body are the breed's defining trait.

The breed was deliberately created to resemble a wild spotted cat.

The California Spangled was originally promoted partly to raise awareness for wildlife conservation.

A muscular, athletic build reflects the breed's wild-looking design.

The breed is highly athletic and enjoys climbing and jumping.

California Spangled cats are energetic and enjoy plenty of activity.

The breed is known for being deeply affectionate with its family.

California Spangled cats retain a playful personality into adulthood.

The breed is known for a confident, assertive temperament.

The California Spangled remains a rare breed today.

The breed's striking, leopard-like spotting sets it apart visually.

California Spangled cats are generally quite friendly with their families.

The breed is considered quite intelligent.",AMERICA,SPOTTED,WILDLOOK,CONSERVATION,MUSCULAR,ATHLETIC,ENERGETIC,AFFECTIONATE,PLAYFUL,CONFIDENT,RARE,STRIKING,FRIENDLY,INTELLIGENT
Chantilly-Tiffany,"The Chantilly-Tiffany was developed in the United States.

A semi-long, silky coat is characteristic of the breed.

Striking amber or gold eyes are typical of the Chantilly-Tiffany.

The breed is generally known for a gentle temperament.

Chantilly-Tiffany cats are known for being deeply affectionate with their families.

The breed is generally quiet, rarely vocalizing without reason.

Chantilly-Tiffany cats form deeply devoted bonds with their owners.

The breed is generally sociable, enjoying close interaction with people.

A silky, low-shedding coat is typical of the breed.

Chantilly-Tiffany cats are generally quite friendly with familiar people.

The breed remains relatively rare compared to more common cat breeds.

Chantilly-Tiffany cats retain a playful personality into adulthood.

The breed forms loyal bonds with its family.

Despite its general quietness, the Chantilly-Tiffany can be surprisingly chatty with familiar people.",AMERICA,SEMILONGHAIR,AMBEREYES,GENTLE,AFFECTIONATE,QUIET,DEVOTED,SOCIABLE,SILKY,FRIENDLY,RARE,PLAYFUL,LOYAL,CHATTY
Chartreux,"The Chartreux originated in France, with a history tied to French monasteries.

A dense blue-gray coat is the defining trait of the Chartreux.

The breed's slightly upturned mouth gives it a permanent, gentle smile.

Chartreux cats are generally quiet, rarely meowing loudly.

A sturdy, powerful body is characteristic of the breed.

Legend holds that Carthusian monks once kept Chartreux cats at their monastery.

Chartreux cats are known for being deeply affectionate with their families.

The breed can show a streak of quiet independence.

Chartreux cats are generally known for a calm temperament.

The breed forms loyal bonds with its family.

A muscular, robust build is typical of the Chartreux.

Chartreux cats are generally known for a gentle disposition.

The breed is known for being quietly observant of its surroundings.

Chartreux cats form deeply devoted bonds with their owners.",FRANCE,BLUEGRAY,SMILE,QUIET,STURDY,MONASTERY,AFFECTIONATE,INDEPENDENT,CALM,LOYAL,MUSCULAR,GENTLE,OBSERVANT,DEVOTED
Chausie,"The Chausie is a hybrid breed developed by crossing domestic cats with the jungle cat.

The jungle cat, a wild feline species, is the Chausie's wild ancestor.

An athletic, long-legged build reflects the Chausie's wild heritage.

A muscular frame gives the Chausie notable strength for its size.

Chausies are highly energetic and need substantial daily exercise.

The breed is notably tall, with a leggy, elegant stance.

Chausies are known for being deeply affectionate with their families.

The breed is considered quite intelligent.

Chausies are highly active, enjoying climbing and exploring.

The breed is known for a confident, assertive temperament.

Chausies retain a playful personality throughout their lives.

The breed forms loyal bonds with its family.

Chausies are famously curious about their surroundings.

Long, lean legs give the Chausie an especially leggy silhouette.",HYBRID,WILDCAT,ATHLETIC,MUSCULAR,ENERGETIC,TALL,AFFECTIONATE,INTELLIGENT,ACTIVE,CONFIDENT,PLAYFUL,LOYAL,CURIOUS,LEGGY
Cheetoh,"The Cheetoh is a hybrid breed combining Bengal and Ocicat ancestry.

Bengal ancestry contributes much of the Cheetoh's wild-spotted appearance.

Bold spotted markings are a defining trait of the Cheetoh.

An athletic, muscular build reflects the breed's hybrid ancestry.

Cheetohs are highly energetic and enjoy plenty of activity.

The breed is known for being deeply affectionate with its family.

Cheetohs retain a playful personality throughout their lives.

The breed is known for a confident, assertive temperament.

A muscular, powerful frame is typical of the Cheetoh.

Cheetohs are famously curious about their surroundings.

The breed is generally quite friendly, including with strangers.

Cheetohs can be fairly vocal, communicating readily with their owners.

The breed's striking, wild-looking coat pattern draws frequent comparisons to a cheetah.

The Cheetoh remains a relatively rare and newly developed breed.",HYBRID,BENGAL,SPOTTED,ATHLETIC,ENERGETIC,AFFECTIONATE,PLAYFUL,CONFIDENT,MUSCULAR,CURIOUS,FRIENDLY,VOCAL,STRIKING,RARE
Colorpoint Shorthair,"The Colorpoint Shorthair was developed largely in the United Kingdom and United States.

The breed is closely related to the Siamese, sharing much of its body type.

Colorpoint markings, darker on the extremities, are a defining trait of the breed.

A slender, elegant body shape is typical of the Colorpoint Shorthair.

The breed is famously vocal, much like its Siamese relatives.

Colorpoint Shorthairs are known for being deeply affectionate with their families.

The breed is generally sociable, enjoying close interaction with people.

Colorpoint Shorthairs are considered highly intelligent.

The breed retains a playful personality into adulthood.

Colorpoint Shorthairs are energetic and enjoy interactive play.

Striking blue eyes are common in the breed.

The breed is famously curious about its surroundings.

Colorpoint Shorthairs are known for being especially chatty with their owners.

The breed carries itself with an elegant, refined bearing.",BRITAIN,SIAMESE,COLORPOINT,SLENDER,VOCAL,AFFECTIONATE,SOCIABLE,INTELLIGENT,PLAYFUL,ENERGETIC,BLUEEYES,CURIOUS,CHATTY,ELEGANT
Cornish Rex,"The Cornish Rex originated in Cornwall, England.

A distinctively soft, curly coat is the breed's defining trait.

The curly coat arose from a spontaneous natural genetic mutation.

A slender, lightweight body is characteristic of the Cornish Rex.

The breed is highly energetic and enjoys vigorous play.

Cornish Rex cats are known for being deeply affectionate with their families.

The breed retains a playful personality throughout its life.

The Cornish Rex's thin coat means it often seeks out warm spots to curl up.

An athletic, agile build allows the breed to jump and climb impressively.

Cornish Rex cats are famously curious about their surroundings.

The breed is generally sociable, enjoying close interaction with people.

Cornish Rex cats are generally quite friendly, including with strangers.

The breed can be fairly vocal, communicating readily with its owners.

Cornish Rex cats are highly active and enjoy plenty of playtime.",ENGLAND,CURLYCOAT,MUTATION,SLENDER,ENERGETIC,AFFECTIONATE,PLAYFUL,WARMSKIN,ATHLETIC,CURIOUS,SOCIABLE,FRIENDLY,VOCAL,ACTIVE
Cymric,"The Cymric is closely related to the Manx, sharing its naturally short or absent tail.

A long, dense coat sets the Cymric apart from its shorthaired Manx relative.

The tailless trait arose from a spontaneous natural genetic mutation.

A sturdy, well-built body is characteristic of the breed.

Cymrics retain a playful personality throughout their lives.

The breed is known for being deeply affectionate with its family.

Cymrics are considered quite intelligent.

The breed is generally sociable, enjoying company from people and pets.

Cymrics form loyal bonds with their families.

The breed is generally quite friendly, including with strangers.

Cymrics are sometimes described as dog-like in their loyalty and playfulness.

The breed is generally known for a gentle temperament.

Cymrics have a distinctively rounded body shape.

The breed is famously curious about its surroundings.",TAILLESS,LONGHAIR,MUTATION,STURDY,PLAYFUL,AFFECTIONATE,INTELLIGENT,SOCIABLE,LOYAL,FRIENDLY,DOGLIKE,GENTLE,ROUNDED,CURIOUS
Devon Rex,"The Devon Rex originated in Devon, England.

A soft, wavy curly coat is the defining trait of the Devon Rex.

Large eyes and ears combined with a short muzzle give the breed a pixie-like face.

Notably large ears are a signature feature of the Devon Rex.

Devon Rex cats are known for a mischievous, playful streak.

The breed is highly energetic and enjoys vigorous play.

Devon Rex cats are known for being deeply affectionate with their families.

The breed retains a playful personality throughout its life.

An athletic, agile build allows the breed to jump and climb impressively.

Devon Rex cats are famously curious about their surroundings.

The breed is generally sociable, enjoying close interaction with people.

Devon Rex cats are generally quite friendly, including with strangers.

The breed can be fairly vocal, communicating readily with its owners.

The Devon Rex's thin coat means it often seeks out warm spots to curl up.",ENGLAND,CURLYCOAT,PIXIEFACE,BIGEARS,MISCHIEVOUS,ENERGETIC,AFFECTIONATE,PLAYFUL,ATHLETIC,CURIOUS,SOCIABLE,FRIENDLY,VOCAL,WARMSKIN
Donskoy,"The Donskoy originated in Russia.

The Donskoy is a largely hairless breed, similar in appearance to the Sphynx.

Loose, wrinkled skin is characteristic of the Donskoy.

The hairless trait arose from a spontaneous natural genetic mutation.

Donskoy cats are known for being deeply affectionate with their families.

The breed is generally sociable, enjoying close interaction with people.

Donskoy cats retain a playful personality throughout their lives.

Without fur, Donskoy cats often feel notably warm to the touch.

The breed is considered quite intelligent.

Donskoy cats are famously curious about their surroundings.

The breed is generally quite friendly, including with strangers.

Donskoy cats require regular skin care due to their lack of fur.

The breed is energetic and enjoys interactive play.

Donskoy cats form deeply devoted bonds with their owners.",RUSSIA,HAIRLESS,WRINKLES,MUTATION,AFFECTIONATE,SOCIABLE,PLAYFUL,WARMSKIN,INTELLIGENT,CURIOUS,FRIENDLY,GROOMING,ENERGETIC,DEVOTED
Dragon Li,"The Dragon Li originated in China.

The breed developed naturally rather than through deliberate crossbreeding.

A distinctive golden tabby coat is standard for the Dragon Li.

An athletic, muscular build reflects the breed's history as a skilled hunter.

The breed is considered quite intelligent.

Dragon Li cats can show a notable streak of independence.

Dragon Li cats were historically valued for hunting rodents.

The breed is naturally alert, quick to notice movement nearby.

Dragon Li cats form loyal bonds with their families once settled.

The breed is energetic and enjoys plenty of activity.

Dragon Li cats are known for being affectionate with familiar people.

The Dragon Li remains a relatively rare breed outside of China.

A muscular, athletic frame is typical of the breed.

Dragon Li cats are famously curious about their surroundings.",CHINA,NATURALBREED,TABBY,ATHLETIC,INTELLIGENT,INDEPENDENT,HUNTING,ALERT,LOYAL,ENERGETIC,AFFECTIONATE,RARE,MUSCULAR,CURIOUS
