Title,Trivia,Words
TV Game Shows,"A contestant competed for prizes by answering questions correctly.

Game shows tested contestants' knowledge with a series of questions.

Winning contestants could take home a wide range of prizes.

A charismatic host guided the game show and kept things moving.

Contestants often had to hit a buzzer to answer first.

A correct answer could move a contestant closer to victory.

Some game shows featured a wheel contestants could spin for prizes.

The biggest prize on a game show was sometimes called the jackpot.

A live studio audience gave enthusiastic applause throughout the show.",CONTESTANT,QUESTION,PRIZE,HOST,BUZZER,ANSWER,SPIN,JACKPOT,APPLAUSE
Rock And Roll,"Rock and roll put the electric guitar at center stage.

The new sound was seen by many adults as rebellious.

A steady drumbeat drove the energy of rock and roll.

Fans packed arenas for a live rock and roll concert.

Rock and roll found its biggest early audience among teenagers.

The electric guitar gave rock and roll its signature sound.

Some rock and roll songs became generation-defining anthems.

Performers commanded the stage with high-energy shows.

Rock and roll brought a burst of raw energy to popular music.",GUITAR,REBELLIOUS,DRUMS,CONCERT,TEENAGER,ELECTRIC,ANTHEM,STAGE,ENERGY
Saturday Matinees,"A Saturday matinee offered a discounted afternoon showing.

Kids filled theater seats every Saturday afternoon.

A matinee often opened with a short cartoon.

Some matinees included a newsreel before the main feature.

Matinee admission was usually cheaper than an evening show.

Some kids raced to grab seats in the balcony.

An usher helped guide moviegoers to their seats.

A matinee sometimes included a chapter of an action serial.

The matinee audience was often filled with children.",MATINEE,AFTERNOON,CARTOON,NEWSREEL,ADMISSION,BALCONY,USHER,SERIAL,AUDIENCE
Gas Station Attendants,"A gas station attendant pumped the gas for every customer.

Attendants would give the tank a full fill-up on request.

Attendants often cleaned the windshield while the tank filled.

Gas station attendants typically wore a matching uniform.

The attendant operated the pump so customers didn't have to.

Full service included fuel, a window wash, and a quick check.

Attendants sometimes handled a simple oil change on the spot.

Attendants checked under the hood, often getting a bit of grease on their hands.

A friendly attendant was part of the full-service experience.",ATTENDANT,FILLUP,WINDSHIELD,UNIFORM,PUMP,SERVICE,OILCHANGE,GREASE,FRIENDLY
Recess Games,"Recess gave students a welcome break to play outside.

Most schools had a playground for outdoor recess games.

Four square was a popular ball game played in a marked court.

A quick game of tag was a recess favorite.

Hopscotch was played by hopping through a chalk-drawn grid.

Kickball combined running the bases with kicking a large ball.

A seesaw let two students balance and bounce together.

Kids lined up for a turn on the swing set.

A teacher's whistle signaled that recess had ended.",RECESS,PLAYGROUND,FOURSQUARE,TAG,HOPSCOTCH,KICKBALL,SEESAW,SWINGSET,WHISTLE
Milkshakes And Malts,"A milkshake blended ice cream, milk, and flavoring together.

A malt included malt powder for extra flavor.

A blender whipped the ingredients into a smooth shake.

A good milkshake came out cold and frosty.

Milkshakes were often served with a wide straw.

Whipped cream sometimes topped off a milkshake.

Milkshakes came in a variety of classic flavors.

A well-made milkshake was satisfyingly thick.

A cherry on top finished many a milkshake.",MILKSHAKE,MALT,BLENDER,FROSTY,STRAW,WHIPPED,FLAVOR,THICK,CHERRY
Letterman Jackets,"A letterman jacket was awarded for varsity team achievement.

The jacket displayed the wearer's varsity letter.

A large patch often showed the school's initial.

The jacket's body was traditionally made of wool.

Letterman jackets often featured leather sleeves.

The jackets proudly represented a student's school.

Letterman jackets celebrated a student's place on a team.

Wearing the jacket was a visible sign of school pride.

Leather sleeves contrasted with the jacket's wool body.",LETTERMAN,VARSITY,PATCH,WOOL,LEATHER,SCHOOL,TEAM,PRIDE,SLEEVE
Home Milk Delivery,"A milkman delivered fresh milk right to the door.

Milk was delivered in glass bottles.

Bottles were left waiting on the doorstep each morning.

Empty bottles were placed outside in a wire crate.

The milkman worked directly for a local dairy.

Deliveries brought fresh milk straight to each home.

The milkman followed the same delivery route every day.

Milk bottles were made of thick, reusable glass.

Deliveries typically arrived early in the morning.",MILKMAN,BOTTLE,DOORSTEP,CRATE,DAIRY,FRESH,ROUTE,GLASS,MORNING
Hula Hoops,"A hula hoop was twirled around the waist to keep it moving.

Keeping the hoop twirling took steady hip movement.

Players kept the hoop spinning around their waist.

Hula hoops were typically made of lightweight plastic.

Players had to keep the hoop spinning without it falling.

Good balance helped keep the hoop up longer.

Some towns held a hula hoop contest for kids.

Hula hoops came in many bright, colorful designs.

The hoop itself was simply a large plastic circle.",HOOP,TWIRL,WAIST,PLASTIC,SPIN,BALANCE,CONTEST,COLORFUL,CIRCLE
Diners And Luncheonettes,"A classic diner served simple meals any time of day.

Customers could sit at a long counter or in a booth.

Many diners offered comfortable booth seating.

Some diners had their own small jukebox at each table.

A friendly waitress usually took each customer's order.

Diners were known for serving a fresh pot of coffee.

Customers could also sit on a stool at the counter.

Diners typically offered a simple, affordable menu.

Meals were cooked fresh on an open grill.",DINER,COUNTER,BOOTH,JUKEBOX,WAITRESS,COFFEE,STOOL,MENU,GRILL
Soap Operas,"Soap operas were known for heightened, ongoing dramatic storylines.

Each soap opera episode often ended without fully resolving its plot.

Romance story lines were a defining feature of soap operas.

A juicy scandal could drive a soap opera's plot for weeks.

Soap operas traditionally aired during daytime television hours.

Soap operas built suspense with unresolved plot twists.

A secret affair was a common soap opera plot device.

Many soap operas ran as a continuous series for decades.

Nearly every soap opera featured a memorable villain.",DRAMA,EPISODE,ROMANCE,SCANDAL,DAYTIME,SUSPENSE,AFFAIR,SERIES,VILLAIN
Transistor Radios,"The transistor radio used compact transistors instead of bulky tubes.

Transistor radios were small enough to be truly portable.

A transistor radio ran on a small battery instead of house power.

Listeners could tune to their favorite radio station on the go.

A short antenna helped a transistor radio pick up signals.

Some transistor radios were small enough to fit in a pocket.

Turning a small dial changed the station on a transistor radio.

Transistor radios could pick up a local broadcast almost anywhere.

Teens loved being able to tune in to music anywhere they went.",TRANSISTOR,PORTABLE,BATTERY,STATION,ANTENNA,POCKET,DIAL,BROADCAST,TUNE
Movie Newsreels,"A newsreel delivered short news segments before the main movie.

Newsreels showed real footage of recent events.

A narrator's voice explained the footage as it played.

Newsreels kept audiences informed about current events.

Newsreels regularly aired inside movie theaters nationwide.

The newsreel appeared on the same big screen as the feature.

Many theaters showed a new newsreel on a weekly basis.

Newsreels helped moviegoers stay updated on the news of the day.

Newsreels were a major source of visual news before television.",NEWSREEL,FOOTAGE,NARRATOR,CURRENT,EVENTS,THEATER,SCREEN,WEEKLY,UPDATE
Convertibles,"A convertible was sometimes nicknamed a ragtop.

Driving with the top down let in a cool breeze.

Convertibles were especially popular on sunny, sunshine-filled days.

A convertible's roof could be folded down at will.

Convertibles were a favorite choice for a leisurely cruise.

A convertible was seen as a stylish way to travel.

Riding with an open top was part of the appeal.

Passengers often arrived looking a little windblown.

Convertibles were especially popular during the summer months.",RAGTOP,BREEZE,SUNSHINE,FOLDING,CRUISE,STYLISH,OPENTOP,WINDBLOWN,SUMMER
Chalkboards And Slates,"Teachers wrote lessons on a large chalkboard at the front of the room.

A felt eraser wiped chalk dust from the board.

White chalk was used to write directly on the board.

Younger students sometimes practiced writing on a small slate.

Clapping two erasers together left a cloud of dusty chalk.

Each day's lesson was often copied straight from the chalkboard.

Students practiced their writing directly on the chalkboard.

Chalk sometimes made an unpleasant screech across the board.

A chalkboard was a fixture in nearly every classroom.",CHALKBOARD,ERASER,CHALK,SLATE,DUSTY,LESSON,WRITING,SCREECH,CLASSROOM
Ice Cream Trucks,"An ice cream truck sold frozen treats right on the street.

A cheerful jingle let kids know the truck was near.

The truck drove slowly through the neighborhood street.

A musical chime often played from the truck's speakers.

The truck kept its treats frozen until they were sold.

A classic ice cream cone was a top seller.

The truck made its way down nearly every street.

Kids eagerly picked out their favorite frozen treat.

Kids would chase down the truck when they heard the music.",ICECREAM,JINGLE,TRUCK,CHIME,FROZEN,CONE,STREET,TREAT,CHASE
Bobby Socks,"Bobby socks were short socks that stopped at the ankle.

The socks covered just the ankle, not the calf.

Bobby socks were typically made of soft cotton.

The socks were often folded down into a neat cuff.

A folded cuff gave bobby socks their signature look.

Bobby socks became a defining teenager fashion trend.

Bobby socks were considered a trendy must-have item.

Bobby socks were often paired with saddle shoes.

Bright white bobby socks were an especially popular choice.",BOBBYSOCKS,ANKLE,COTTON,FOLDED,CUFF,TEENAGER,TRENDY,PAIRED,WHITE
Clotheslines,"Clean laundry was hung outside to dry in the sun.

A wooden clothespin held each item securely on the line.

A gentle breeze helped speed up the drying.

Sunshine helped clothes dry naturally on the line.

Many clotheslines were strung across the backyard.

Laundry left outside took on a fresh outdoor scent.

Drying clothes outside was an everyday household task.

Clean laundry was carried outside in a large basket.

Some clotheslines used a pulley to reach across a yard.",LAUNDRY,CLOTHESPIN,BREEZE,SUNSHINE,BACKYARD,FRESH,DRYING,BASKET,PULLEY
Yo-Yos,"A yo-yo spun up and down along a length of string.

A yo-yo was attached to a finger by a string.

The yo-yo would spin rapidly at the end of its string.

Skilled players could perform an impressive yo-yo trick.

A well-thrown yo-yo could spin in place, called a sleeper.

Some tricks involved looping the string in clever patterns.

A small loop of string was worn around one wrist.

Early yo-yos were often carved from wood.

A flick of the wrist sent the yo-yo back up.",YOYO,STRING,SPIN,TRICK,SLEEPER,LOOP,WRIST,WOODEN,RETURN
County Fairs,"A county fair brought the whole community together each year.

The fair featured carnival games and rides.

Farmers proudly showed off their livestock at the fair.

Winners were awarded a colorful ribbon for their entry.

A tall Ferris wheel was a fair midway favorite.

A homemade pie contest was a popular fair tradition.

Fairgoers entered contests for baking, crafts, and more.

The midway offered a variety of exciting rides.

Fair visitors enjoyed a wide range of festival treats.",FAIR,CARNIVAL,LIVESTOCK,RIBBON,FERRIS,PIE,CONTEST,RIDES,TREATS
Classic TV Westerns,"Classic TV westerns often centered on a heroic cowboy.

A town sheriff frequently kept order in TV westerns.

Many western episodes featured a dusty frontier saloon.

Life on a cattle ranch was a common western setting.

TV westerns often pitted the hero against a scheming outlaw.

A trusty horse was essential to any TV western hero.

Westerns were set on America's rugged frontier.

A dramatic gunfight was a staple of the western genre.

Covered wagons were a familiar sight in TV westerns.",COWBOY,SHERIFF,SALOON,RANCH,OUTLAW,HORSE,FRONTIER,GUNFIGHT,WAGON
Record Stores,"Music fans loved to browse the aisles of a record store.

Customers flipped through albums looking for something new.

Purchases were rung up at the record store counter.

Records were often organized into bins by genre or artist.

A cashier handled purchases at the record store's front counter.

Shoppers examined the artwork on each record's sleeve.

Some record stores let customers listen before buying.

Records were displayed on shelves throughout the store.

Larger record stores kept a full catalog of available titles.",BROWSE,ALBUM,COUNTER,BIN,CASHIER,SLEEVE,LISTEN,SHELF,CATALOG
Classic Movie Stars,"Classic movie stars enjoyed a level of fame known as stardom.

Old Hollywood glamour was closely tied to its biggest stars.

Many classic stars were under long-term contract to a studio.

Fans lined up to see stars arrive at a movie premiere.

Devoted fans hoped to get a star's autograph.

Classic stars often stood in the spotlight of magazine covers.

Movie stars became some of the era's biggest celebrities.

Audiences fell in love with stars they saw on the big screen.

Devoted admirers sometimes joined an official fan club.",STARDOM,GLAMOUR,STUDIO,PREMIERE,AUTOGRAPH,SPOTLIGHT,CELEBRITY,SCREEN,FANCLUB
Tailfins And Chrome,"Dramatic tailfins became a signature look for many 1950s cars.

Bright chrome trim was a hallmark of the era's car design.

A wide chrome bumper often stretched across the front of the car.

Gleaming chrome caught the eye on showroom floors.

A chrome grille gave many classic cars a bold front look.

Sleek chrome lines added a sense of motion even standing still.

Chrome accents highlighted a car's curves and edges.

Bold styling with tailfins and chrome defined the era.

Owners kept their chrome trim polished and shiny.",TAILFIN,CHROME,BUMPER,GLEAMING,GRILLE,SLEEK,ACCENT,STYLING,SHINY
Cursive Handwriting,"Cursive handwriting connected each letter in a flowing style.

Good penmanship was considered an important classroom skill.

Some older desks even included a small inkwell.

Cursive letters were formed using smooth, connected loops.

Students spent time each day on handwriting practice.

Teachers graded students partly on the neatness of their writing.

Cursive was practiced carefully with a pencil on lined paper.

Students learned to write every letter of the alphabet in cursive.

Practice pages in a workbook helped students improve their cursive.",CURSIVE,PENMANSHIP,INKWELL,LOOPS,PRACTICE,NEATNESS,PENCIL,ALPHABET,WORKBOOK
Bubble Gum,"Bubble gum could be blown into a big, stretchy bubble.

Bubble gum had a soft, chewy texture.

A big bubble would eventually pop with a satisfying sound.

Bubble gum could get sticky if chewed too long.

Each piece of gum came in its own wrapper.

Bubble gum came in a variety of sweet flavors.

Kids practiced blowing the biggest bubble they could.

Some bubble gum packs included a small comic strip.

Bubble gum was often sold in a small pack.",BUBBLE,CHEWY,POP,STICKY,WRAPPER,FLAVOR,BLOWING,COMIC,PACK
Bell Bottoms,"Bell bottoms flared out dramatically below the knee.

Bell bottoms were commonly made of sturdy denim.

The pants had a distinctive wide leg shape.

Bell bottoms were fitted snugly through the hip and thigh.

Some bell bottoms were decorated with colorful patches.

Colorful patterns were common on bell bottom pants.

Bell bottoms were considered a groovy style choice.

The pants were made from a range of different fabric.

Bell bottoms became a trendy wardrobe staple.",FLARED,DENIM,WIDELEG,FITTED,PATCHES,COLORFUL,GROOVY,FABRIC,TRENDY
Manual Typewriters,"A manual typewriter printed letters by striking a page directly.

Typewriter keys had to be pressed firmly to print.

A typewriter ribbon carried the ink used for each letter.

The carriage held the paper as it moved with each key.

Typewriter keys made a distinct clacking sound.

A small bell rang to signal an approaching margin.

Reaching the end of a line required a manual carriage return.

The ribbon kept every typed letter inked evenly.

A blank sheet of paper was rolled into the typewriter.",TYPEWRITER,KEYS,RIBBON,CARRIAGE,CLACK,MARGIN,RETURN,INKED,PAPER
Paper Dolls,"A paper doll was a flat cutout figure to dress up.

Kids could dress the doll in a paper outfit.

A folded paper tab held each outfit in place.

Paper dolls often came with a whole paper wardrobe.

Scissors were used to cut out each doll and outfit.

Paper dolls were sometimes printed on sturdy cardboard.

Paper dolls made dress-up play possible without real clothes.

Many kids enjoyed collecting different paper doll sets.

Paper dolls often came bound together in a small booklet.",CUTOUT,OUTFIT,TAB,WARDROBE,SCISSORS,CARDBOARD,DRESSUP,COLLECT,BOOKLET
Block Parties,"A block party closed off the street for a neighborhood celebration.

A backyard barbecue was often the centerpiece of a block party.

Neighbors came together to celebrate as a community.

A hand-painted banner often welcomed guests to the party.

Neighbors brought a dish to share in a potluck-style meal.

Music played throughout the neighborhood celebration.

The whole neighborhood would gather in one place.

Children played games together throughout the party.

Neighbors set up folding chairs along the street.",STREET,BARBECUE,NEIGHBOR,BANNER,POTLUCK,MUSIC,GATHER,CHILDREN,CHAIRS
Variety Shows,"Variety shows mixed several kinds of entertainment into one broadcast.

A featured singer often performed a live musical number.

Talented dancers added spectacle to the variety show format.

A stand-up comedian frequently appeared to deliver a comedic set.

Variety shows included short comedy sketches between performances.

A live orchestra often backed the musical performances.

Each episode typically welcomed a rotating cast of guest stars.

Performers took to the stage for one act after another.

The studio audience's applause capped off each performance.",VARIETY,SINGER,DANCER,COMEDIAN,SKETCH,ORCHESTRA,GUEST,STAGE,APPLAUSE
Sock Hops,"A sock hop was an informal school dance held in stocking feet.

Sock hops were often held right in the school gymnasium.

Teens spent the evening dancing to the latest hit songs.

A portable record player usually supplied the sock hop's music.

An adult chaperone typically supervised the school dance.

Sock hops usually offered simple snacks like punch and cookies.

Dancing without shoes protected the gym floor from sneakers.

Popular music set the mood for the evening's sock hop.

Sock hops were a favorite pastime for many a teenager.",SOCKHOP,GYMNASIUM,DANCING,RECORD,CHAPERONE,SNACKS,SNEAKERS,MUSIC,TEENAGER
Movie Posters,"A movie poster advertised a film before its release.

Poster artwork often captured a film's most exciting scene.

A clever tagline helped a poster grab attention.

Posters were commonly displayed in the theater lobby.

Theaters used posters to display upcoming movies.

A skilled artist hand-painted many classic movie posters.

Some posters were painted rather than photographed.

A theater's marquee often featured art from the movie poster.

Movie posters used bold, colorful designs to stand out.",POSTER,ARTWORK,TAGLINE,LOBBY,DISPLAY,ARTIST,PAINTED,MARQUEE,COLORFUL
Drive-In Restaurants,"A car hop delivered food directly to a customer's car.

Food arrived balanced on a special window-mounted tray.

Some car hops famously delivered orders on roller skates.

Customers placed their order without ever leaving the car.

Drive-in restaurants offered a simple, classic menu.

A juicy burger was a top seller at most drive-ins.

A thick milkshake was a favorite drive-in treat.

Some drive-ins used a speaker box to take orders.

Customers stayed parked in their cars for the entire meal.",CARHOP,TRAY,SKATES,ORDER,MENU,BURGER,MILKSHAKE,SPEAKER,PARKED
Show And Tell,"Show and tell let students bring a favorite object from home.

Each classmate took a turn sharing something special.

Students had to explain why their object mattered to them.

Everyone waited for their turn to share with the class.

Some students felt a little nervous speaking in front of the class.

A cherished treasure was a popular show and tell choice.

Students often told a short story about their item.

Show and tell gave every student a chance to present something.

Students felt proud sharing something meaningful with their class.",OBJECT,CLASSMATE,EXPLAIN,TURN,NERVOUS,TREASURE,STORY,PRESENT,PROUD
Candy Stores,"A candy store's window display drew in curious kids.

Candy was often weighed and sold at the front counter.

Candy was displayed in large glass canisters.

Loose candy was weighed on a small scale.

Candy stores offered an assorted mix of sweet treats.

Some candies came individually wrapped for freshness.

Jars of candy lined the store's shelves.

A candy store was filled with treats of every kind.

The store owner often knew every regular customer by name.",DISPLAY,COUNTER,CANISTER,SCALE,ASSORTED,WRAPPED,SHELF,TREATS,OWNER
Go-Go Boots,"Go-go boots typically rose to a knee-high length.

Go-go boots were known for their shiny finish.

Bright white was a classic go-go boot color.

Many go-go boots were made of glossy vinyl.

Go-go boots often featured a flat, square-cut toe.

Go-go boots got their name from dance culture.

Go-go boots became a symbol of mod fashion.

The boots quickly became a trendy fashion statement.

Most go-go boots closed with a side zipper.",KNEEHIGH,SHINY,WHITE,VINYL,SQUARE,DANCE,MOD,TRENDY,ZIPPER
Record Players,"A record player spun records on a rotating turntable.

A small needle read the grooves to produce sound.

Records were stacked on a center spindle.

The tonearm guided the needle across the record.

Records played at a specific rotational speed.

A dial controlled the volume of the music.

The player was designed to spin vinyl records.

Some record players were built into a wooden cabinet.

Later record players offered rich stereo sound.",TURNTABLE,NEEDLE,SPINDLE,TONEARM,SPEED,VOLUME,VINYL,CABINET,STEREO
Tin Toys,"Tin toys were made from lightweight sheet metal.

Many tin toys used a wind-up key to move.

Tin toys were often decorated with painted designs.

Some tin toys used a simple clockwork mechanism.

Certain tin toys would rattle or clatter as they moved.

Some tin toys produced a small spark for effect.

Old tin toys are now considered charming vintage collectibles.

Tin toys are highly prized by toy collectors today.

Well-preserved tin toys are treated as valuable antiques.",METAL,WINDUP,PAINTED,CLOCKWORK,RATTLE,SPARK,VINTAGE,COLLECTOR,ANTIQUE
